,tp,Tp
0,0.0,22.0
1,144.0,94.0
2,204.0,94.0
3,264.0,64.0
4,324.0,64.0
5,336.0,70.0
6,356.0,70.0
7,404.0,94.0
8,464.0,94.0
9,524.0,64.0
10,584.0,64.0
11,596.0,70.0
12,616.0,70.0
13,664.0,94.0
14,724.0,94.0
15,784.0,64.0
16,844.0,64.0
17,856.0,70.0
18,876.0,70.0
19,924.0,94.0
20,984.0,94.0
21,1044.0,64.0
22,1104.0,64.0
23,1116.0,70.0
24,1136.0,70.0
25,1184.0,94.0
26,1244.0,94.0
27,1304.0,64.0
28,1364.0,64.0
29,1376.0,70.0
30,1396.0,70.0
31,1444.0,94.0
32,1504.0,94.0
33,1564.0,64.0
34,1624.0,64.0
35,1636.0,70.0
36,1656.0,70.0
37,1704.0,94.0
38,1764.0,94.0
39,1824.0,64.0
40,1884.0,64.0
41,1896.0,70.0
42,1916.0,70.0
43,1964.0,94.0
44,2024.0,94.0
45,2084.0,64.0
46,2144.0,64.0
47,2156.0,70.0
48,2176.0,70.0
49,2224.0,94.0
50,2284.0,94.0
51,2344.0,64.0
52,2404.0,64.0
53,2416.0,70.0
54,2436.0,70.0
55,2484.0,94.0
56,2544.0,94.0
57,2604.0,64.0
58,2664.0,64.0
59,2676.0,70.0
60,2696.0,70.0
61,2744.0,94.0
62,2804.0,94.0
63,2864.0,64.0
64,2924.0,64.0
65,2936.0,70.0
66,2956.0,70.0
67,3004.0,94.0
68,3064.0,94.0
69,3124.0,64.0
70,3184.0,64.0
71,3196.0,70.0
72,3216.0,70.0
73,3312.0,22.0
